uri,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,valence,tempo
5hnGly9RuGiixupoVrLTNI,0.817,0.539,6,-6.349,0.0621,0.0141,0.000496,0.158,97.061
0tQyUsejipsHr5BEdx7wLX,0.817,0.539,6,-6.349,0.0621,0.0141,0.000496,0.158,97.061
5bkpKxDCCTpeW1v2JcFTQ7,0.685,0.909,3,-4.034,0.0396,0.0471,0.0,0.922,95.004
6OUTbAEIxmP8RVEAFNMq1d,0.78,0.856,10,-5.316,0.0405,0.116,0.0,0.712,120.049
37i4ehp6JPOenvQQEcoYv7,0.899,0.626,6,-4.228,0.292,0.076,0.0,0.873,88.007
6habFhsOp2NvshLv26DqMb,0.655,0.797,2,-4.787,0.153,0.198,0.0,0.839,177.928
2pfvK4mEji3KYxoJqEwzDV,0.876,0.673,8,-7.15,0.139,0.0524,0.00571,0.462,113.995
1qcWuAqrckB7uoAxVnrBDm,0.709,0.56,4,-4.867,0.171,0.034,0.0,0.541,170.082
0z36xwxw8zG1kBtQuZNYMU,0.709,0.56,4,-4.867,0.171,0.034,0.0,0.541,170.082
27jKLapVKaNuoMQMHR988Z,0.735,0.674,6,-5.629,0.124,0.18,0.0,0.561,171.883
5I0cjHs6AmHbp2ivVhdgCT,0.709,0.56,4,-4.867,0.171,0.034,0.0,0.541,170.082
40o76YIOwDazc0h2QrZhWl,0.709,0.56,4,-4.867,0.171,0.034,0.0,0.541,170.082
1WDDMw1k46OS4W2IGxmLzj,0.705,0.562,8,-3.378,0.0674,0.257,0.0,0.569,163.893
5PhShslWTooBj2SuyeHnBm,0.705,0.562,8,-3.378,0.0674,0.257,0.0,0.569,163.893
7K293fK5kJf9TP6HgMsyGw,0.705,0.562,8,-3.378,0.0674,0.257,0.0,0.569,163.893
467COmJuCIz4s7sorVviYj,0.865,0.573,5,-5.501,0.0678,0.0863,0.0,0.563,94.999
3i9uGfgo9kXoRUNAl3M8Mr,0.705,0.562,8,-3.378,0.0674,0.257,0.0,0.569,163.893
4xWzDlOYUJSzJda21R27G6,0.865,0.573,5,-5.501,0.0678,0.0863,0.0,0.563,94.999
